,GEO,SEX,AGE_M3,VALUE
4645,DE247,T,30-39,9184.0
4646,DE247,T,40+,52744.0
4647,DE247,T,TOTAL,87775.0
4648,DE248,F,18-29,7514.0
4649,DE248,F,30-39,6367.0
4650,DE248,F,40+,33392.0
4651,DE248,F,<18,9876.0
4652,DE248,F,TOTAL,57149.0
4653,DE248,M,18-29,8089.0
4654,DE248,M,30-39,6184.0
4655,DE248,M,40+,31208.0
4656,DE248,M,<18,10108.0
4657,DE248,M,TOTAL,55589.0
4658,DE248,T,18-29,12768.0
4659,DE248,T,30-39,12551.0
4660,DE248,T,40+,64600.0
4661,DE248,T,TOTAL,112738.0
4662,DE249,F,18-29,5655.0
4663,DE249,F,30-39,5038.0
4664,DE249,F,40+,33021.0
4665,DE249,F,<18,7669.0
4666,DE249,F,TOTAL,51383.0
4667,DE249,M,18-29,6018.0
4668,DE249,M,30-39,4782.0
4669,DE249,M,40+,29277.0
4670,DE249,M,<18,7911.0
4671,DE249,M,TOTAL,47988.0
4672,DE249,T,18-29,9374.0
4673,DE249,T,30-39,9820.0
4674,DE249,T,40+,62298.0
4675,DE249,T,TOTAL,99371.0
4676,DE24A,F,18-29,4209.0
4677,DE24A,F,30-39,3812.0
4678,DE24A,F,40+,22488.0
4679,DE24A,F,<18,5255.0
4680,DE24A,F,TOTAL,35764.0
4681,DE24A,M,18-29,4543.0
4682,DE24A,M,30-39,3823.0
4683,DE24A,M,40+,20404.0
4684,DE24A,M,<18,5393.0
4685,DE24A,M,TOTAL,34163.0
4686,DE24A,T,18-29,7157.0
4687,DE24A,T,30-39,7635.0
4688,DE24A,T,40+,42892.0
4689,DE24A,T,TOTAL,69927.0
4690,DE24B,F,18-29,4324.0
4691,DE24B,F,30-39,4102.0
4692,DE24B,F,40+,23865.0
4693,DE24B,F,<18,5685.0
4694,DE24B,F,TOTAL,37976.0
4695,DE24B,M,18-29,4636.0
4696,DE24B,M,30-39,3970.0
4697,DE24B,M,40+,21294.0
4698,DE24B,M,<18,6194.0
4699,DE24B,M,TOTAL,36094.0
4700,DE24B,T,18-29,7282.0
4701,DE24B,T,30-39,8072.0
4702,DE24B,T,40+,45159.0
4703,DE24B,T,TOTAL,74070.0
4704,DE24C,F,18-29,4285.0
4705,DE24C,F,30-39,3826.0
4706,DE24C,F,40+,20883.0
4707,DE24C,F,<18,5386.0
4708,DE24C,F,TOTAL,34380.0
4709,DE24C,M,18-29,4585.0
4710,DE24C,M,30-39,3753.0
4711,DE24C,M,40+,18986.0
4712,DE24C,M,<18,5593.0
4713,DE24C,M,TOTAL,32917.0
4714,DE24C,T,18-29,7210.0
4715,DE24C,T,30-39,7579.0
4716,DE24C,T,40+,39869.0
