,GEO,SEX,AGE_M3,VALUE
11698,ES415,M,<18,26040.0
11699,ES415,M,TOTAL,171365.0
11700,ES415,T,18-29,38515.0
11701,ES415,T,30-39,48590.0
11702,ES415,T,40+,205875.0
11703,ES415,T,TOTAL,350020.0
11704,ES416,F,18-29,10355.0
11705,ES416,F,30-39,11485.0
11706,ES416,F,40+,45680.0
11707,ES416,F,<18,13035.0
11708,ES416,F,TOTAL,80570.0
11709,ES416,M,18-29,11505.0
11710,ES416,M,30-39,12910.0
11711,ES416,M,40+,44360.0
11712,ES416,M,<18,13820.0
11713,ES416,M,TOTAL,82600.0
11714,ES416,T,18-29,18580.0
11715,ES416,T,30-39,24395.0
11716,ES416,T,40+,90055.0
11717,ES416,T,TOTAL,163170.0
11718,ES417,F,18-29,5970.0
11719,ES417,F,30-39,6150.0
11720,ES417,F,40+,27730.0
11721,ES417,F,<18,6680.0
11722,ES417,F,TOTAL,46540.0
11723,ES417,M,18-29,6150.0
11724,ES417,M,30-39,6970.0
11725,ES417,M,40+,27725.0
11726,ES417,M,<18,7235.0
11727,ES417,M,TOTAL,48070.0
11728,ES417,T,18-29,10120.0
11729,ES417,T,30-39,13120.0
11730,ES417,T,40+,55455.0
11731,ES417,T,TOTAL,94610.0
11732,ES418,F,18-29,32355.0
11733,ES418,F,30-39,42905.0
11734,ES418,F,40+,155505.0
11735,ES418,F,<18,40655.0
11736,ES418,F,TOTAL,271425.0
11737,ES418,M,18-29,33910.0
11738,ES418,M,30-39,45210.0
11739,ES418,M,40+,139930.0
11740,ES418,M,<18,42285.0
11741,ES418,M,TOTAL,261340.0
11742,ES418,T,18-29,56810.0
11743,ES418,T,30-39,88115.0
11744,ES418,T,40+,295435.0
11745,ES418,T,TOTAL,532765.0
11746,ES419,F,18-29,11165.0
11747,ES419,F,30-39,11715.0
11748,ES419,F,40+,61980.0
11749,ES419,F,<18,11530.0
11750,ES419,F,TOTAL,96405.0
11751,ES419,M,18-29,12115.0
11752,ES419,M,30-39,12830.0
11753,ES419,M,40+,58405.0
11754,ES419,M,<18,11855.0
11755,ES419,M,TOTAL,95205.0
11756,ES419,T,18-29,19920.0
11757,ES419,T,30-39,24545.0
11758,ES419,T,40+,120395.0
11759,ES419,T,TOTAL,191615.0
11760,ES42,F,18-29,153720.0
11761,ES42,F,30-39,164610.0
11762,ES42,F,40+,534310.0
11763,ES42,F,<18,190765.0
11764,ES42,F,TOTAL,1043405.0
11765,ES42,M,18-29,163350.0
11766,ES42,M,30-39,184500.0
11767,ES42,M,40+,512135.0
11768,ES42,M,<18,202945.0
11769,ES42,M,TOTAL,1062925.0
11770,ES42,T,18-29,271375.0
11771,ES42,T,30-39,349110.0
11772,ES42,T,40+,1046445.0
11773,ES42,T,TOTAL,2106330.0
11774,ES421,F,18-29,29615.0
11775,ES421,F,30-39,30565.0
11776,ES421,F,40+,104335.0
11777,ES421,F,<18,35935.0
11778,ES421,F,TOTAL,200445.0
11779,ES421,M,18-29,31835.0
11780,ES421,M,30-39,33485.0
11781,ES421,M,40+,98025.0
11782,ES421,M,<18,37790.0
11783,ES421,M,TOTAL,201135.0
11784,ES421,T,18-29,52020.0
11785,ES421,T,30-39,64050.0
11786,ES421,T,40+,202360.0
11787,ES421,T,TOTAL,401580.0
11788,ES422,F,18-29,40030.0
11789,ES422,F,30-39,38385.0
11790,ES422,F,40+,139730.0
11791,ES422,F,<18,46080.0
11792,ES422,F,TOTAL,264225.0
11793,ES422,M,18-29,42335.0
11794,ES422,M,30-39,42370.0
11795,ES422,M,40+,128260.0
11796,ES422,M,<18,49450.0
11797,ES422,M,TOTAL,262405.0
11798,ES422,T,18-29,70090.0
11799,ES422,T,30-39,80750.0
11800,ES422,T,40+,267980.0
11801,ES422,T,TOTAL,526630.0
11802,ES423,F,18-29,15030.0
11803,ES423,F,30-39,14330.0
11804,ES423,F,40+,59885.0
11805,ES423,F,<18,16970.0
11806,ES423,F,TOTAL,106210.0
11807,ES423,M,18-29,16315.0
11808,ES423,M,30-39,16760.0
11809,ES423,M,40+,58270.0
11810,ES423,M,<18,17605.0
11811,ES423,M,TOTAL,108955.0
11812,ES423,T,18-29,26945.0
11813,ES423,T,30-39,31090.0
11814,ES423,T,40+,118150.0
11815,ES423,T,TOTAL,215165.0
11816,ES424,F,18-29,17695.0
11817,ES424,F,30-39,23180.0
11818,ES424,F,40+,59885.0
11819,ES424,F,<18,24635.0
11820,ES424,F,TOTAL,125390.0
11821,ES424,M,18-29,18510.0
11822,ES424,M,30-39,26280.0
11823,ES424,M,40+,61320.0
11824,ES424,M,<18,25935.0
11825,ES424,M,TOTAL,132050.0
11826,ES424,T,18-29,31530.0
11827,ES424,T,30-39,49460.0
11828,ES424,T,40+,121195.0
11829,ES424,T,TOTAL,257440.0
11830,ES425,F,18-29,51350.0
11831,ES425,F,30-39,58145.0
11832,ES425,F,40+,170495.0
11833,ES425,F,<18,67150.0
11834,ES425,F,TOTAL,347135.0
11835,ES425,M,18-29,54360.0
11836,ES425,M,30-39,65610.0
11837,ES425,M,40+,166245.0
11838,ES425,M,<18,72165.0
11839,ES425,M,TOTAL,358380.0
11840,ES425,T,18-29,90785.0
11841,ES425,T,30-39,123755.0
11842,ES425,T,40+,336745.0
11843,ES425,T,TOTAL,705515.0
11844,ES43,F,18-29,80775.0
11845,ES43,F,30-39,78480.0
11846,ES43,F,40+,301140.0
11847,ES43,F,<18,94555.0
11848,ES43,F,TOTAL,554930.0
11849,ES43,M,18-29,85835.0
11850,ES43,M,30-39,82600.0
11851,ES43,M,40+,281120.0
11852,ES43,M,<18,100015.0
11853,ES43,M,TOTAL,549565.0
11854,ES43,T,18-29,140630.0
11855,ES43,T,30-39,161075.0
11856,ES43,T,40+,582255.0
11857,ES43,T,TOTAL,1104500.0
11858,ES431,F,18-29,52615.0
11859,ES431,F,30-39,50955.0
11860,ES431,F,40+,182790.0
11861,ES431,F,<18,62035.0
11862,ES431,F,TOTAL,348395.0
11863,ES431,M,18-29,55595.0
11864,ES431,M,30-39,53260.0
11865,ES431,M,40+,169680.0
11866,ES431,M,<18,64875.0
11867,ES431,M,TOTAL,343405.0
11868,ES431,T,18-29,91000.0
11869,ES431,T,30-39,104215.0
11870,ES431,T,40+,352455.0
11871,ES431,T,TOTAL,691800.0
11872,ES432,F,18-29,28150.0
11873,ES432,F,30-39,27525.0
11874,ES432,F,40+,118345.0
11875,ES432,F,<18,32520.0
11876,ES432,F,TOTAL,206535.0
11877,ES432,M,18-29,30245.0
11878,ES432,M,30-39,29330.0
11879,ES432,M,40+,111440.0
11880,ES432,M,<18,35155.0
11881,ES432,M,TOTAL,206165.0
11882,ES432,T,18-29,49630.0
11883,ES432,T,30-39,56855.0
11884,ES432,T,40+,229785.0
11885,ES432,T,TOTAL,412700.0
11886,ES5,F,18-29,919735.0
11887,ES5,F,30-39,1157880.0
11888,ES5,F,40+,3592140.0
11889,ES5,F,<18,1201510.0
11890,ES5,F,TOTAL,6871265.0
11891,ES5,M,18-29,940850.0
11892,ES5,M,30-39,1247495.0
11893,ES5,M,40+,3284400.0
11894,ES5,M,<18,1286270.0
11895,ES5,M,TOTAL,6759010.0
11896,ES5,T,18-29,1604410.0
11897,ES5,T,30-39,2405370.0
11898,ES5,T,40+,6876530.0
11899,ES5,T,TOTAL,13630275.0
11900,ES51,F,18-29,499635.0
11901,ES51,F,30-39,643965.0
11902,ES51,F,40+,1990490.0
11903,ES51,F,<18,667875.0
11904,ES51,F,TOTAL,3801960.0
11905,ES51,M,18-29,508025.0
11906,ES51,M,30-39,691710.0
11907,ES51,M,40+,1801620.0
11908,ES51,M,<18,716525.0
11909,ES51,M,TOTAL,3717880.0
11910,ES51,T,18-29,869655.0
11911,ES51,T,30-39,1335670.0
11912,ES51,T,40+,3792100.0
11913,ES51,T,TOTAL,7519840.0
11914,ES511,F,18-29,365610.0
11915,ES511,F,30-39,479150.0
11916,ES511,F,40+,1484570.0
11917,ES511,F,<18,485690.0
11918,ES511,F,TOTAL,2815020.0
11919,ES511,M,18-29,369150.0
11920,ES511,M,30-39,506870.0
11921,ES511,M,40+,1310915.0
11922,ES511,M,<18,520600.0
11923,ES511,M,TOTAL,2707545.0
11924,ES511,T,18-29,634140.0
11925,ES511,T,30-39,986020.0
11926,ES511,T,40+,2795480.0
11927,ES511,T,TOTAL,5522565.0
11928,ES512,F,18-29,50810.0
11929,ES512,F,30-39,62695.0
11930,ES512,F,40+,189765.0
11931,ES512,F,<18,69335.0
11932,ES512,F,TOTAL,372610.0
11933,ES512,M,18-29,51860.0
11934,ES512,M,30-39,68765.0
11935,ES512,M,40+,182970.0
11936,ES512,M,<18,75600.0
11937,ES512,M,TOTAL,379195.0
11938,ES512,T,18-29,88485.0
11939,ES512,T,30-39,131465.0
11940,ES512,T,40+,372740.0
11941,ES512,T,TOTAL,751805.0
11942,ES513,F,18-29,29095.0
11943,ES513,F,30-39,34845.0
11944,ES513,F,40+,113525.0
11945,ES513,F,<18,37625.0
11946,ES513,F,TOTAL,215085.0
11947,ES513,M,18-29,30800.0
11948,ES513,M,30-39,40680.0
11949,ES513,M,40+,111375.0
11950,ES513,M,<18,40485.0
11951,ES513,M,TOTAL,223340.0
11952,ES513,T,18-29,51600.0
11953,ES513,T,30-39,75530.0
11954,ES513,T,40+,224895.0
11955,ES513,T,TOTAL,438430.0
11956,ES514,F,18-29,54125.0
11957,ES514,F,30-39,67265.0
11958,ES514,F,40+,202620.0
11959,ES514,F,<18,75235.0
11960,ES514,F,TOTAL,399240.0
11961,ES514,M,18-29,56210.0
11962,ES514,M,30-39,75385.0
11963,ES514,M,40+,196365.0
11964,ES514,M,<18,79835.0
11965,ES514,M,TOTAL,407800.0
11966,ES514,T,18-29,95440.0
11967,ES514,T,30-39,142655.0
11968,ES514,T,40+,398970.0
11969,ES514,T,TOTAL,807045.0
11970,ES52,F,18-29,338805.0
11971,ES52,F,30-39,414785.0
11972,ES52,F,40+,1331630.0
11973,ES52,F,<18,436345.0
11974,ES52,F,TOTAL,2521560.0
11975,ES52,M,18-29,349980.0
11976,ES52,M,30-39,448040.0
11977,ES52,M,40+,1224865.0
11978,ES52,M,<18,465480.0
11979,ES52,M,TOTAL,2488370.0
11980,ES52,T,18-29,591075.0
11981,ES52,T,30-39,862830.0
11982,ES52,T,40+,2556505.0
11983,ES52,T,TOTAL,5009930.0
11984,ES521,F,18-29,125515.0
11985,ES521,F,30-39,147760.0
11986,ES521,F,40+,495820.0
11987,ES521,F,<18,159015.0
11988,ES521,F,TOTAL,928110.0
11989,ES521,M,18-29,128555.0
11990,ES521,M,30-39,159735.0
11991,ES521,M,40+,465305.0
11992,ES521,M,<18,170465.0
11993,ES521,M,TOTAL,924055.0
11994,ES521,T,18-29,217530.0
11995,ES521,T,30-39,307495.0
11996,ES521,T,40+,961130.0
11997,ES521,T,TOTAL,1852165.0
11998,ES522,F,18-29,40915.0
11999,ES522,F,30-39,50445.0
12000,ES522,F,40+,152440.0
12001,ES522,F,<18,52645.0
12002,ES522,F,TOTAL,296450.0
12003,ES522,M,18-29,41685.0
12004,ES522,M,30-39,55455.0
12005,ES522,M,40+,145210.0
12006,ES522,M,<18,55615.0
12007,ES522,M,TOTAL,297975.0
12008,ES522,T,18-29,71505.0
12009,ES522,T,30-39,105900.0
12010,ES522,T,40+,297670.0
12011,ES522,T,TOTAL,594425.0
12012,ES523,F,18-29,172380.0
12013,ES523,F,30-39,216580.0
12014,ES523,F,40+,683365.0
12015,ES523,F,<18,224675.0
12016,ES523,F,TOTAL,1297000.0
12017,ES523,M,18-29,179745.0
12018,ES523,M,30-39,232855.0
12019,ES523,M,40+,614350.0
12020,ES523,M,<18,239390.0
12021,ES523,M,TOTAL,1266340.0
12022,ES523,T,18-29,302040.0
12023,ES523,T,30-39,449430.0
12024,ES523,T,40+,1297700.0
12025,ES523,T,TOTAL,2563340.0
12026,ES53,F,18-29,81295.0
12027,ES53,F,30-39,99130.0
12028,ES53,F,40+,270030.0
12029,ES53,F,<18,97300.0
12030,ES53,F,TOTAL,547745.0
12031,ES53,M,18-29,82835.0
12032,ES53,M,30-39,107745.0
12033,ES53,M,40+,257915.0
12034,ES53,M,<18,104265.0
12035,ES53,M,TOTAL,552755.0
12036,ES53,T,18-29,143680.0
12037,ES53,T,30-39,206875.0
12038,ES53,T,40+,527950.0
12039,ES53,T,TOTAL,1100505.0
12040,ES531,F,18-29,11880.0
12041,ES531,F,30-39,14200.0
12042,ES531,F,40+,31560.0
12043,ES531,F,<18,11650.0
12044,ES531,F,TOTAL,69295.0
12045,ES531,M,18-29,12285.0
12046,ES531,M,30-39,16700.0
12047,ES531,M,40+,33485.0
12048,ES531,M,<18,12415.0
12049,ES531,M,TOTAL,74880.0
12050,ES531,T,18-29,21540.0
12051,ES531,T,30-39,30900.0
12052,ES531,T,40+,65040.0
12053,ES531,T,TOTAL,144175.0
12054,ES532,F,18-29,62810.0
12055,ES532,F,30-39,76650.0
12056,ES532,F,40+,215030.0
12057,ES532,F,<18,76875.0
12058,ES532,F,TOTAL,431360.0
12059,ES532,M,18-29,63610.0
12060,ES532,M,30-39,82365.0
12061,ES532,M,40+,201635.0
12062,ES532,M,<18,82955.0
12063,ES532,M,TOTAL,430570.0
12064,ES532,T,18-29,110325.0
12065,ES532,T,30-39,159015.0
12066,ES532,T,40+,416660.0
12067,ES532,T,TOTAL,861930.0
12068,ES533,F,18-29,6605.0
12069,ES533,F,30-39,8280.0
12070,ES533,F,40+,23425.0
12071,ES533,F,<18,8775.0
12072,ES533,F,TOTAL,47090.0
12073,ES533,M,18-29,6935.0
12074,ES533,M,30-39,8675.0
12075,ES533,M,40+,22800.0
12076,ES533,M,<18,8880.0
12077,ES533,M,TOTAL,47305.0
12078,ES533,T,18-29,11815.0
12079,ES533,T,30-39,16960.0
12080,ES533,T,40+,46245.0
12081,ES533,T,TOTAL,94395.0
12082,ES6,F,18-29,747310.0
12083,ES6,F,30-39,819870.0
12084,ES6,F,40+,2488910.0
12085,ES6,F,<18,970105.0
12086,ES6,F,TOTAL,5026210.0
12087,ES6,M,18-29,782435.0
12088,ES6,M,30-39,870895.0
12089,ES6,M,40+,2288505.0
12090,ES6,M,<18,1030200.0
12091,ES6,M,TOTAL,4972025.0
12092,ES6,T,18-29,1303735.0
12093,ES6,T,30-39,1690770.0
12094,ES6,T,40+,4777430.0
12095,ES6,T,TOTAL,9998235.0
12096,ES61,F,18-29,625535.0
12097,ES61,F,30-39,684100.0
12098,ES61,F,40+,2110875.0
12099,ES61,F,<18,801270.0
12100,ES61,F,TOTAL,4221780.0
12101,ES61,M,18-29,652275.0
12102,ES61,M,30-39,716630.0
12103,ES61,M,40+,1928940.0
12104,ES61,M,<18,851650.0
12105,ES61,M,TOTAL,4149490.0
12106,ES61,T,18-29,1088480.0
12107,ES61,T,30-39,1400725.0
12108,ES61,T,40+,4039800.0
12109,ES61,T,TOTAL,8371270.0
12110,ES611,F,18-29,53555.0
12111,ES611,F,30-39,58735.0
12112,ES611,F,40+,157280.0
12113,ES611,F,<18,68200.0
12114,ES611,F,TOTAL,337770.0
12115,ES611,M,18-29,58690.0
12116,ES611,M,30-39,66890.0
12117,ES611,M,40+,152870.0
12118,ES611,M,<18,72500.0
12119,ES611,M,TOTAL,350965.0
12120,ES611,T,18-29,96820.0
12121,ES611,T,30-39,125625.0
12122,ES611,T,40+,310155.0
12123,ES611,T,TOTAL,688735.0
12124,ES612,F,18-29,93985.0
12125,ES612,F,30-39,102410.0
12126,ES612,F,40+,305620.0
12127,ES612,F,<18,122575.0
12128,ES612,F,TOTAL,624600.0
12129,ES612,M,18-29,97365.0
12130,ES612,M,30-39,106240.0
12131,ES612,M,40+,286065.0
12132,ES612,M,<18,130470.0
12133,ES612,M,TOTAL,620135.0
12134,ES612,T,18-29,163885.0
12135,ES612,T,30-39,208650.0
12136,ES612,T,40+,591690.0
12137,ES612,T,TOTAL,1244730.0
12138,ES613,F,18-29,60255.0
12139,ES613,F,30-39,58995.0
12140,ES613,F,40+,215930.0
12141,ES613,F,<18,72900.0
12142,ES613,F,TOTAL,408090.0
12143,ES613,M,18-29,63235.0
12144,ES613,M,30-39,61435.0
12145,ES613,M,40+,191625.0
12146,ES613,M,<18,78205.0
12147,ES613,M,TOTAL,394485.0
12148,ES613,T,18-29,104065.0
12149,ES613,T,30-39,120435.0
12150,ES613,T,40+,407560.0
12151,ES613,T,TOTAL,802575.0
12152,ES614,F,18-29,69130.0
12153,ES614,F,30-39,72015.0
12154,ES614,F,40+,236775.0
12155,ES614,F,<18,86325.0
12156,ES614,F,TOTAL,464260.0
12157,ES614,M,18-29,72740.0
12158,ES614,M,30-39,76705.0
12159,ES614,M,40+,215695.0
12160,ES614,M,<18,92685.0
12161,ES614,M,TOTAL,457840.0
12162,ES614,T,18-29,120505.0
12163,ES614,T,30-39,148725.0
12164,ES614,T,40+,452485.0
12165,ES614,T,TOTAL,922100.0
12166,ES615,F,18-29,39655.0
12167,ES615,F,30-39,44385.0
12168,ES615,F,40+,129120.0
12169,ES615,F,<18,48925.0
12170,ES615,F,TOTAL,262085.0
12171,ES615,M,18-29,40655.0
12172,ES615,M,30-39,46120.0
12173,ES615,M,40+,118710.0
12174,ES615,M,<18,52310.0
12175,ES615,M,TOTAL,257810.0
12176,ES615,T,18-29,68815.0
12177,ES615,T,30-39,90505.0
12178,ES615,T,40+,247855.0
12179,ES615,T,TOTAL,519895.0
12180,ES616,F,18-29,50860.0
12181,ES616,F,30-39,46100.0
12182,ES616,F,40+,175850.0
12183,ES616,F,<18,60810.0
12184,ES616,F,TOTAL,333625.0
12185,ES616,M,18-29,55950.0
12186,ES616,M,30-39,51350.0
12187,ES616,M,40+,161600.0
12188,ES616,M,<18,64950.0
12189,ES616,M,TOTAL,333860.0
12190,ES616,T,18-29,89170.0
12191,ES616,T,30-39,97450.0
12192,ES616,T,40+,337460.0
12193,ES616,T,TOTAL,667485.0
12194,ES617,F,18-29,115165.0
12195,ES617,F,30-39,135185.0
12196,ES617,F,40+,407450.0
12197,ES617,F,<18,149590.0
12198,ES617,F,TOTAL,807385.0
12199,ES617,M,18-29,116215.0
12200,ES617,M,30-39,138365.0
12201,ES617,M,40+,374190.0
12202,ES617,M,<18,158650.0
12203,ES617,M,TOTAL,787420.0
12204,ES617,T,18-29,198285.0
12205,ES617,T,30-39,273555.0
12206,ES617,T,40+,781645.0
12207,ES617,T,TOTAL,1594810.0
12208,ES618,F,18-29,142920.0
12209,ES618,F,30-39,166270.0
12210,ES618,F,40+,482830.0
12211,ES618,F,<18,191950.0
12212,ES618,F,TOTAL,983965.0
12213,ES618,M,18-29,147425.0
12214,ES618,M,30-39,169515.0
12215,ES618,M,40+,428150.0
12216,ES618,M,<18,201885.0
12217,ES618,M,TOTAL,946975.0
12218,ES618,T,18-29,246925.0
12219,ES618,T,30-39,335790.0
12220,ES618,T,40+,910970.0
12221,ES618,T,TOTAL,1930940.0
12222,ES62,F,18-29,107935.0
12223,ES62,F,30-39,123340.0
12224,ES62,F,40+,344875.0
12225,ES62,F,<18,148280.0
12226,ES62,F,TOTAL,724420.0
12227,ES62,M,18-29,114845.0
12228,ES62,M,30-39,140240.0
12229,ES62,M,40+,325550.0
12230,ES62,M,<18,157065.0
12231,ES62,M,TOTAL,737705.0
12232,ES62,T,18-29,190845.0
12233,ES62,T,30-39,263575.0
12234,ES62,T,40+,670430.0
12235,ES62,T,TOTAL,1462130.0
12236,ES620,F,18-29,107935.0
12237,ES620,F,30-39,123340.0
12238,ES620,F,40+,344875.0
12239,ES620,F,<18,148280.0
12240,ES620,F,TOTAL,724420.0
12241,ES620,M,18-29,114845.0
12242,ES620,M,30-39,140240.0
12243,ES620,M,40+,325550.0
12244,ES620,M,<18,157065.0
12245,ES620,M,TOTAL,737705.0
12246,ES620,T,18-29,190845.0
12247,ES620,T,30-39,263575.0
12248,ES620,T,40+,670430.0
12249,ES620,T,TOTAL,1462130.0
12250,ES63,F,18-29,7125.0
12251,ES63,F,30-39,6310.0
12252,ES63,F,40+,17315.0
12253,ES63,F,<18,10005.0
12254,ES63,F,TOTAL,40750.0
12255,ES63,M,18-29,7895.0
12256,ES63,M,30-39,7280.0
12257,ES63,M,40+,17525.0
12258,ES63,M,<18,10075.0
12259,ES63,M,TOTAL,42765.0
12260,ES63,T,18-29,12425.0
12261,ES63,T,30-39,13590.0
12262,ES63,T,40+,34850.0
12263,ES63,T,TOTAL,83515.0
12264,ES630,F,18-29,7125.0
12265,ES630,F,30-39,6310.0
12266,ES630,F,40+,17315.0
12267,ES630,F,<18,10005.0
12268,ES630,F,TOTAL,40750.0
12269,ES630,M,18-29,7895.0
12270,ES630,M,30-39,7280.0
12271,ES630,M,40+,17525.0
12272,ES630,M,<18,10075.0
12273,ES630,M,TOTAL,42765.0
12274,ES630,T,18-29,12425.0
12275,ES630,T,30-39,13590.0
12276,ES630,T,40+,34850.0
12277,ES630,T,TOTAL,83515.0
12278,ES64,F,18-29,6715.0
12279,ES64,F,30-39,6130.0
12280,ES64,F,40+,15850.0
12281,ES64,F,<18,10575.0
12282,ES64,F,TOTAL,39255.0
12283,ES64,M,18-29,7425.0
12284,ES64,M,30-39,6750.0
12285,ES64,M,40+,16495.0
12286,ES64,M,<18,11405.0
12287,ES64,M,TOTAL,42065.0
12288,ES64,T,18-29,11985.0
12289,ES64,T,30-39,12875.0
12290,ES64,T,40+,32345.0
12291,ES64,T,TOTAL,81325.0
12292,ES640,F,18-29,6715.0
12293,ES640,F,30-39,6130.0
12294,ES640,F,40+,15850.0
12295,ES640,F,<18,10575.0
12296,ES640,F,TOTAL,39255.0
12297,ES640,M,18-29,7425.0
12298,ES640,M,30-39,6750.0
12299,ES640,M,40+,16495.0
12300,ES640,M,<18,11405.0
12301,ES640,M,TOTAL,42065.0
12302,ES640,T,18-29,11985.0
12303,ES640,T,30-39,12875.0
12304,ES640,T,40+,32345.0
12305,ES640,T,TOTAL,81325.0
12306,ES7,F,18-29,155820.0
12307,ES7,F,30-39,184315.0
12308,ES7,F,40+,521220.0
12309,ES7,F,<18,181735.0
12310,ES7,F,TOTAL,1043080.0
12311,ES7,M,18-29,155825.0
12312,ES7,M,30-39,191525.0
12313,ES7,M,40+,500940.0
12314,ES7,M,<18,191290.0
12315,ES7,M,TOTAL,1039575.0
12316,ES7,T,18-29,268055.0
12317,ES7,T,30-39,375840.0
12318,ES7,T,40+,1022135.0
12319,ES7,T,TOTAL,2082655.0
12320,ES70,F,18-29,155820.0
12321,ES70,F,30-39,184315.0
12322,ES70,F,40+,521220.0
12323,ES70,F,<18,181735.0
12324,ES70,F,TOTAL,1043080.0
12325,ES70,M,18-29,155825.0
12326,ES70,M,30-39,191525.0
12327,ES70,M,40+,500940.0
12328,ES70,M,<18,191290.0
12329,ES70,M,TOTAL,1039575.0
12330,ES70,T,18-29,268055.0
12331,ES70,T,30-39,375840.0
12332,ES70,T,40+,1022135.0
12333,ES70,T,TOTAL,2082655.0
12334,ES703,F,18-29,640.0
12335,ES703,F,30-39,795.0
12336,ES703,F,40+,2910.0
12337,ES703,F,<18,880.0
12338,ES703,F,TOTAL,5230.0
12339,ES703,M,18-29,780.0
12340,ES703,M,30-39,855.0
12341,ES703,M,40+,3000.0
12342,ES703,M,<18,865.0
12343,ES703,M,TOTAL,5495.0
12344,ES703,T,18-29,1280.0
12345,ES703,T,30-39,1645.0
12346,ES703,T,40+,5915.0
12347,ES703,T,TOTAL,10725.0
12348,ES704,F,18-29,8365.0
12349,ES704,F,30-39,10640.0
12350,ES704,F,40+,19820.0
12351,ES704,F,<18,10070.0
12352,ES704,F,TOTAL,48890.0
12353,ES704,M,18-29,8635.0
12354,ES704,M,30-39,11695.0
12355,ES704,M,40+,22990.0
12356,ES704,M,<18,10720.0
12357,ES704,M,TOTAL,54050.0
12358,ES704,T,18-29,14850.0
12359,ES704,T,30-39,22330.0
12360,ES704,T,40+,42820.0
12361,ES704,T,TOTAL,102940.0
12362,ES705,F,18-29,63540.0
12363,ES705,F,30-39,73065.0
12364,ES705,F,40+,213335.0
12365,ES705,F,<18,75515.0
12366,ES705,F,TOTAL,425455.0
12367,ES705,M,18-29,63535.0
12368,ES705,M,30-39,75370.0
12369,ES705,M,40+,203540.0
12370,ES705,M,<18,78185.0
12371,ES705,M,TOTAL,420630.0
12372,ES705,T,18-29,109025.0
12373,ES705,T,30-39,148430.0
12374,ES705,T,40+,416880.0
12375,ES705,T,TOTAL,846085.0
12376,ES706,F,18-29,1320.0
12377,ES706,F,30-39,1620.0
12378,ES706,F,40+,6055.0
12379,ES706,F,<18,1580.0
12380,ES706,F,TOTAL,10580.0
12381,ES706,M,18-29,1360.0
12382,ES706,M,30-39,1780.0
12383,ES706,M,40+,6215.0
12384,ES706,M,<18,1755.0
12385,ES706,M,TOTAL,11100.0
12386,ES706,T,18-29,2370.0
12387,ES706,T,30-39,3400.0
12388,ES706,T,40+,12270.0
12389,ES706,T,TOTAL,21680.0
12390,ES707,F,18-29,5460.0
12391,ES707,F,30-39,6465.0
12392,ES707,F,40+,23375.0
12393,ES707,F,<18,6755.0
12394,ES707,F,TOTAL,42065.0
12395,ES707,M,18-29,5900.0
12396,ES707,M,30-39,6745.0
12397,ES707,M,40+,22010.0
12398,ES707,M,<18,6975.0
12399,ES707,M,TOTAL,41625.0
12400,ES707,T,18-29,9650.0
12401,ES707,T,30-39,13210.0
12402,ES707,T,40+,45370.0
12403,ES707,T,TOTAL,83690.0
12404,ES708,F,18-29,10775.0
12405,ES708,F,30-39,13060.0
12406,ES708,F,40+,30150.0
12407,ES708,F,<18,13465.0
12408,ES708,F,TOTAL,67450.0
12409,ES708,M,18-29,10880.0
12410,ES708,M,30-39,14120.0
12411,ES708,M,40+,31640.0
12412,ES708,M,<18,14100.0
12413,ES708,M,TOTAL,70750.0
12414,ES708,T,18-29,18710.0
12415,ES708,T,30-39,27175.0
12416,ES708,T,40+,61795.0
12417,ES708,T,TOTAL,138200.0
12418,ES709,F,18-29,65710.0
12419,ES709,F,30-39,78685.0
12420,ES709,F,40+,225550.0
12421,ES709,F,<18,73450.0
12422,ES709,F,TOTAL,443410.0
12423,ES709,M,18-29,64725.0
12424,ES709,M,30-39,80965.0
12425,ES709,M,40+,211555.0
12426,ES709,M,<18,78675.0
12427,ES709,M,TOTAL,435925.0
12428,ES709,T,18-29,112180.0
12429,ES709,T,30-39,159650.0
12430,ES709,T,40+,437110.0
12431,ES709,T,TOTAL,879335.0
12432,ESZ,F,18-29,
12433,ESZ,F,30-39,
12434,ESZ,F,40+,
12435,ESZ,F,<18,
12436,ESZ,F,TOTAL,
12437,ESZ,M,18-29,
12438,ESZ,M,30-39,
12439,ESZ,M,40+,
12440,ESZ,M,<18,
12441,ESZ,M,TOTAL,
12442,ESZ,T,18-29,
12443,ESZ,T,30-39,
12444,ESZ,T,40+,
12445,ESZ,T,TOTAL,
12446,ESZZ,F,18-29,
12447,ESZZ,F,30-39,
12448,ESZZ,F,40+,
12449,ESZZ,F,<18,
12450,ESZZ,F,TOTAL,
12451,ESZZ,M,18-29,
12452,ESZZ,M,30-39,
12453,ESZZ,M,40+,
12454,ESZZ,M,<18,
12455,ESZZ,M,TOTAL,
12456,ESZZ,T,18-29,
12457,ESZZ,T,30-39,
12458,ESZZ,T,40+,
12459,ESZZ,T,TOTAL,
12460,ESZZZ,F,18-29,
12461,ESZZZ,F,30-39,
12462,ESZZZ,F,40+,
12463,ESZZZ,F,<18,
12464,ESZZZ,F,TOTAL,
12465,ESZZZ,M,18-29,
12466,ESZZZ,M,30-39,
12467,ESZZZ,M,40+,
12468,ESZZZ,M,<18,
12469,ESZZZ,M,TOTAL,
12470,ESZZZ,T,18-29,
12471,ESZZZ,T,30-39,
